"Tabela 1554 - Pessoas de 10 anos ou mais de idade, por nível de instrução - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Nível de instrução"
"Município","Ano","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo","Não determinado"
"Capela do Alto Alegre (BA)","2010","9872","7220","1099","1322","116","115"
"Capim Grosso (BA)","2010","21986","14987","2954","3610","376","58"
"Caraíbas (BA)","2010","8692","6992","869","716","115","-"
"Caravelas (BA)","2010","17348","12065","2330","2415","406","131"
"Cardeal da Silva (BA)","2010","7181","5229","1122","742","74","14"
"Carinhanha (BA)","2010","22949","15909","3168","3634","224","14"
"Casa Nova (BA)","2010","52425","38763","5927","6681","944","109"
"Castro Alves (BA)","2010","21456","14468","2962","3556","396","73"
"Catolândia (BA)","2010","2201","1649","265","222","64","-"
"Catu (BA)","2010","43623","23851","7343","10850","1202","378"
"Caturama (BA)","2010","7554","5817","845","819","56","16"
"Central (BA)","2010","13995","9256","1866","2586","263","25"
"Chorrochó (BA)","2010","8683","6223","811","1353","273","23"
"Cícero Dantas (BA)","2010","27463","19848","3581","3645","343","46"
"Cipó (BA)","2010","12950","8865","1551","2276","258","-"
"Coaraci (BA)","2010","17562","11620","2322","3063","517","41"
"Cocos (BA)","2010","15005","11001","1791","1948","248","17"
"Conceição da Feira (BA)","2010","17023","10089","2498","4040","252","145"
"Conceição do Almeida (BA)","2010","15471","10664","1702","2837","249","19"
"Conceição do Coité (BA)","2010","51570","34619","6644","8788","1101","418"
"Conceição do Jacuípe (BA)","2010","25343","14197","4260","6209","566","111"
"Conde (BA)","2010","18767","13833","2267","2118","396","152"
"Condeúba (BA)","2010","14275","10873","1753","1282","298","70"
"Contendas do Sincorá (BA)","2010","3935","2896","414","525","96","4"
"Coração de Maria (BA)","2010","18832","13009","2533","3006","258","27"
"Cordeiros (BA)","2010","7063","5347","908","710","90","7"
"Coribe (BA)","2010","12078","8622","1550","1662","188","56"
"Coronel João Sá (BA)","2010","13978","11352","1255","982","389","-"
"Correntina (BA)","2010","25991","18127","3512","3558","723","71"
"Cotegipe (BA)","2010","11239","7857","1479","1721","78","104"
"Cravolândia (BA)","2010","4156","2860","538","675","83","-"
"Crisópolis (BA)","2010","16493","13487","1582","1010","291","123"
"Cristópolis (BA)","2010","11153","7383","1720","1821","122","107"
"Cruz das Almas (BA)","2010","50247","24043","7845","15444","2897","19"
"Curaçá (BA)","2010","26033","18893","3147","3469","424","98"
"Dário Meira (BA)","2010","10491","8086","1086","1111","152","56"
"Dias d'Ávila (BA)","2010","54370","28043","9762","14822","1402","341"
"Dom Basílio (BA)","2010","9684","7107","1104","1247","220","5"
"Dom Macedo Costa (BA)","2010","3327","2183","503","593","40","8"
"Elísio Medrado (BA)","2010","6816","4860","820","1096","40","-"
"Encruzilhada (BA)","2010","19308","14593","2341","1787","236","351"
"Entre Rios (BA)","2010","32564","21444","4709","5150","791","470"
"Esplanada (BA)","2010","26450","18625","2927","4254","420","224"
"Euclides da Cunha (BA)","2010","46799","35185","5069","5408","881","255"
"Eunápolis (BA)","2010","82697","46179","12216","19764","3917","620"
"Fátima (BA)","2010","15011","11496","1836","1526","147","6"
"Feira da Mata (BA)","2010","5204","3790","683","665","51","14"
"Feira de Santana (BA)","2010","471446","229779","78084","137159","24458","1966"
"Filadélfia (BA)","2010","13845","10004","1835","1748","188","70"
"Firmino Alves (BA)","2010","4488","3254","475","672","70","16"
"Floresta Azul (BA)","2010","8934","6588","913","1254","130","50"
"Formosa do Rio Preto (BA)","2010","18132","11664","2907","2840","474","247"
"Gandu (BA)","2010","25001","16310","3331","4351","828","181"
"Gavião (BA)","2010","3929","2723","409","764","30","4"
"Gentio do Ouro (BA)","2010","8833","6640","1028","1103","36","25"
"Glória (BA)","2010","12638","9248","1418","1705","255","12"
"Gongogi (BA)","2010","6960","5006","935","855","88","75"
"Governador Mangabeira (BA)","2010","16504","9639","2905","3536","376","48"
"Guajeru (BA)","2010","8942","6985","940","884","132","-"
"Guanambi (BA)","2010","67262","39385","10050","14719","2999","109"
"Guaratinga (BA)","2010","18293","14132","1816","2087","233","25"
"Heliópolis (BA)","2010","11103","8667","1137","1175","114","9"
"Iaçu (BA)","2010","21259","15774","2051","2763","400","271"
"Ibiassucê (BA)","2010","8726","6245","1099","1134","229","19"
"Ibicaraí (BA)","2010","20293","13314","2804","3290","850","33"
"Ibicoara (BA)","2010","13763","9721","2290","1545","195","11"
"Ibicuí (BA)","2010","13203","9657","1380","1842","272","52"
"Ibipeba (BA)","2010","14141","9283","1947","2564","296","51"
"Ibipitanga (BA)","2010","12030","8977","1340","1530","175","8"
"Ibiquera (BA)","2010","3992","3207","326","397","55","7"
"Ibirapitanga (BA)","2010","17936","13686","2213","1910","127","-"
"Ibirapuã (BA)","2010","6621","4773","720","907","200","22"
"Ibirataia (BA)","2010","15838","11360","2051","2063","337","27"
"Ibitiara (BA)","2010","13265","9777","1678","1462","287","60"
"Ibititá (BA)","2010","14812","10096","2308","2123","177","107"
"Ibotirama (BA)","2010","21052","12971","3168","4136","675","102"
"Ichu (BA)","2010","4450","2756","488","1136","68","3"
"Igaporã (BA)","2010","12956","8542","1669","2288","416","42"
"Igrapiúna (BA)","2010","10637","8047","1158","1154","120","158"
"Iguaí (BA)","2010","21337","16744","2081","2048","371","94"
"Ilhéus (BA)","2010","155072","82744","24855","37577","9405","491"
"Inhambupe (BA)","2010","29539","21876","3476","3750","341","97"
"Ipecaetá (BA)","2010","12962","9773","1724","1198","38","229"
"Ipiaú (BA)","2010","37401","22774","5769","7481","1220","157"
"Ipirá (BA)","2010","49351","37744","5680","4888","558","481"
"Ipupiara (BA)","2010","7910","5643","1104","980","162","22"
"Irajuba (BA)","2010","5766","4329","707","602","118","10"
"Iramaia (BA)","2010","9933","7292","1119","1285","147","89"
"Iraquara (BA)","2010","18389","12606","2493","2900","338","53"
"Irará (BA)","2010","23044","15288","3177","3790","565","224"
"Irecê (BA)","2010","55022","29553","9339","13431","2359","339"
"Itabela (BA)","2010","22804","15935","3290","3094","472","13"
"Itaberaba (BA)","2010","51228","32915","6458","9793","1693","370"
"Itabuna (BA)","2010","175027","83814","30678","47823","11674","1039"
"Itacaré (BA)","2010","19382","14314","2335","2112","575","45"
"Itaeté (BA)","2010","12208","8785","1635","1571","152","65"
"Itagi (BA)","2010","10868","8208","1324","1080","190","64"
"Itagibá (BA)","2010","12689","8890","1647","1968","179","6"
"Itagimirim (BA)","2010","5868","3845","810","983","179","50"
"Itaguaçu da Bahia (BA)","2010","10642","8164","1305","1072","88","13"
"Itaju do Colônia (BA)","2010","5838","4067","747","862","75","86"
"Itajuípe (BA)","2010","17732","12044","2375","2788","429","96"
"Itamaraju (BA)","2010","52099","35255","6828","8335","1504","177"
"Itamari (BA)","2010","6502","4723","763","812","154","51"
"Itambé (BA)","2010","19109","14070","2373","2208","286","172"
"Itanagra (BA)","2010","6059","4489","753","707","91","20"
"Itanhém (BA)","2010","17306","11548","2257","2954","524","23"
"Itaparica (BA)","2010","17517","9806","2984","4274","422","30"
"Itapé (BA)","2010","9157","6261","1323","1376","158","38"
"Itapebi (BA)","2010","8431","6172","1000","1115","129","15"
"Itapetinga (BA)","2010","57230","33032","8865","12796","2037","500"
"Itapicuru (BA)","2010","26075","22415","1992","1340","212","116"
"Itapitanga (BA)","2010","8497","6294","885","1202","71","45"
"Itaquara (BA)","2010","6550","5133","894","452","67","4"
"Itarantim (BA)","2010","15618","11028","1977","2119","373","121"
"Itatim (BA)","2010","11940","8692","1179","1857","142","71"
"Itiruçu (BA)","2010","10667","7532","1071","1804","225","35"
"Itiúba (BA)","2010","29421","22835","3346","2964","220","56"
"Itororó (BA)","2010","16667","11549","2239","2286","284","309"
"Ituaçu (BA)","2010","15271","11752","1440","1683","388","7"
"Ituberá (BA)","2010","21623","15030","2769","3212","492","120"
"Iuiu (BA)","2010","8954","6307","1011","1298","115","223"
"Jaborandi (BA)","2010","7783","5438","1033","1127","96","88"
"Jacaraci (BA)","2010","11855","8644","1457","1577","124","52"
"Jacobina (BA)","2010","66576","40102","10144","13778","2391","160"
"Jaguaquara (BA)","2010","41893","30381","5652","4607","747","505"
"Jaguarari (BA)","2010","25533","16142","3792","4494","820","285"
"Jaguaripe (BA)","2010","13513","10469","1494","1419","116","16"
"Jandaíra (BA)","2010","8201","6222","905","813","170","92"
"Jequié (BA)","2010","128478","72351","19652","29037","6355","1084"
"Jeremoabo (BA)","2010","30854","23583","3472","3302","399","97"
"Jiquiriçá (BA)","2010","11772","9165","1207","1173","192","36"
"Jitaúna (BA)","2010","11776","8455","1187","1945","179","10"
"João Dourado (BA)","2010","18135","12460","2791","2433","285","167"
"Juazeiro (BA)","2010","162160","88386","27542","37830","7493","909"
"Jucuruçu (BA)","2010","8543","6440","1026","934","76","66"
"Jussara (BA)","2010","12144","8763","1715","1561","71","34"
"Jussari (BA)","2010","5372","3897","650","665","122","38"
"Jussiape (BA)","2010","7054","5012","853","1075","105","9"
"Lafaiete Coutinho (BA)","2010","3382","2442","400","477","63","-"
"Lagoa Real (BA)","2010","11810","9321","1259","1106","125","-"
"Laje (BA)","2010","18413","13118","2732","2183","360","20"
"Lajedão (BA)","2010","3154","2285","390","351","94","34"
"Lajedinho (BA)","2010","3239","2560","309","344","19","7"
"Lajedo do Tabocal (BA)","2010","6912","5134","973","720","86","-"
"Lamarão (BA)","2010","7889","6278","896","651","52","11"
"Lapão (BA)","2010","20936","14218","3630","2751","300","38"
"Lauro de Freitas (BA)","2010","138732","56734","22706","43201","15455","637"
"Lençóis (BA)","2010","8398","5295","889","1874","311","28"
"Licínio de Almeida (BA)","2010","10449","7185","1336","1650","260","18"
"Livramento de Nossa Senhora (BA)","2010","36312","25757","4445","5221","688","202"
"Luís Eduardo Magalhães (BA)","2010","48228","26083","7969","11011","3001","164"
"Macajuba (BA)","2010","9032","7387","849","641","155","-"
"Macarani (BA)","2010","14357","10059","1752","2093","376","76"
"Macaúbas (BA)","2010","39561","27638","5683","5419","605","216"
"Macururé (BA)","2010","6566","4212","788","1349","172","45"
"Madre de Deus (BA)","2010","14792","6137","2680","5249","571","155"
"Maetinga (BA)","2010","5993","4818","600","520","55","-"
"Maiquinique (BA)","2010","7283","5218","926","1000","91","49"
"Mairi (BA)","2010","16252","12262","1780","1848","322","40"
"Malhada (BA)","2010","12803","9513","1439","1650","144","56"
"Malhada de Pedras (BA)","2010","7232","5415","858","874","76","8"
"Manoel Vitorino (BA)","2010","11988","8993","1529","966","222","277"
"Mansidão (BA)","2010","10281","6316","1369","1825","370","402"
"Maracás (BA)","2010","20737","14170","2683","3249","399","236"
"Maragogipe (BA)","2010","36125","23652","5153","6887","279","155"
"Maraú (BA)","2010","15250","11385","1616","1689","387","174"
"Marcionílio Souza (BA)","2010","8594","6312","1119","986","110","67"
"Mascote (BA)","2010","11794","8566","1540","1404","232","51"
"Mata de São João (BA)","2010","33386","18443","5232","8907","628","177"
"Matina (BA)","2010","9202","6942","1023","1124","112","1"
"Medeiros Neto (BA)","2010","18167","12549","2766","2236","587","29"
"Miguel Calmon (BA)","2010","22138","15917","2818","2757","608","39"
"Milagres (BA)","2010","8597","5875","975","1590","133","24"
"Mirangaba (BA)","2010","13416","10241","1475","1529","105","67"
"Mirante (BA)","2010","8845","7193","959","517","165","10"
"Monte Santo (BA)","2010","42962","35557","4079","2836","484","7"
"Morpará (BA)","2010","6881","5272","764","772","68","4"
"Morro do Chapéu (BA)","2010","28587","20555","3614","3702","600","116"
"Mortugaba (BA)","2010","10760","7535","1547","1460","217","-"
"Mucugê (BA)","2010","8672","5861","1045","1419","343","5"
"Mucuri (BA)","2010","29366","17381","4614","5930","1309","133"
"Mulungu do Morro (BA)","2010","9847","7431","1131","1119","156","9"
"Mundo Novo (BA)","2010","20154","15198","2381","2160","292","123"
"Muniz Ferreira (BA)","2010","6300","4151","794","1286","56","13"
"Muquém do São Francisco (BA)","2010","8023","6134","952","801","60","76"
"Muritiba (BA)","2010","24604","14485","4426","4780","662","251"
"Mutuípe (BA)","2010","18141","13284","2197","2405","176","79"
"Nazaré (BA)","2010","23163","13868","3589","4800","511","396"
"Nilo Peçanha (BA)","2010","10305","7812","1062","1084","159","188"
"Nordestina (BA)","2010","10195","7443","1430","1118","204","-"
"Nova Canaã (BA)","2010","13898","11264","1341","962","260","71"
"Nova Fátima (BA)","2010","6536","4732","657","1032","106","10"
"Nova Ibiá (BA)","2010","5501","4249","499","576","129","49"
"Nova Itarana (BA)","2010","6064","4806","562","557","68","71"
"Nova Redenção (BA)","2010","6713","4945","782","872","85","29"
"Nova Soure (BA)","2010","19856","15044","2054","2448","287","22"
"Nova Viçosa (BA)","2010","31110","19889","5366","4751","944","160"
"Novo Horizonte (BA)","2010","8965","6411","963","1405","87","99"
"Novo Triunfo (BA)","2010","12529","9133","1724","1534","99","39"
"Olindina (BA)","2010","20482","15395","2435","2236","338","78"
"Oliveira dos Brejinhos (BA)","2010","18289","13720","2523","1676","345","26"
"Ouriçangas (BA)","2010","7091","4940","1023","1022","106","-"
"Ourolândia (BA)","2010","13237","9871","1573","1395","203","194"
"Palmas de Monte Alto (BA)","2010","17563","13036","1851","2295","340","41"
"Palmeiras (BA)","2010","6861","4259","1325","905","355","15"
"Paramirim (BA)","2010","18150","12337","2384","2743","652","35"
"Paratinga (BA)","2010","24117","16662","3267","3782","242","163"
"Paripiranga (BA)","2010","23405","17389","2513","3030","443","30"
"Pau Brasil (BA)","2010","8587","6093","1241","1085","106","62"
"Paulo Afonso (BA)","2010","90930","51326","13508","20916","4658","522"
"Pé de Serra (BA)","2010","11589","8710","1180","1526","163","10"
"Pedrão (BA)","2010","5786","4102","839","794","50","-"
"Pedro Alexandre (BA)","2010","13608","10829","1627","895","160","98"
"Piatã (BA)","2010","14915","11455","1631","1556","222","51"
"Pilão Arcado (BA)","2010","26134","21556","2144","2022","305","107"
"Pindaí (BA)","2010","13366","9627","1463","1853","298","125"
"Pindobaçu (BA)","2010","16384","11438","2456","2221","172","97"
"Pintadas (BA)","2010","8738","6167","1239","1263","57","11"
"Piraí do Norte (BA)","2010","7937","6271","927","591","136","12"
"Piripá (BA)","2010","10920","7917","1600","1123","269","10"
"Piritiba (BA)","2010","18478","13668","2227","2121","461","-"
"Planaltino (BA)","2010","7485","5656","934","776","114","5"
"Planalto (BA)","2010","20252","15566","2634","1691","230","131"
"Poções (BA)","2010","36718","26104","5250","4557","787","21"
"Pojuca (BA)","2010","27802","15103","4751","6904","948","95"
"Ponto Novo (BA)","2010","12828","9451","1832","1318","157","70"
"Porto Seguro (BA)","2010","101967","57722","17813","20855","4883","693"
"Potiraguá (BA)","2010","8149","5371","1299","1362","114","4"
"Prado (BA)","2010","22239","14989","3121","3291","623","215"
"Presidente Dutra (BA)","2010","11528","7494","1722","2021","216","75"
"Presidente Jânio Quadros (BA)","2010","11643","9519","1116","821","155","31"
"Presidente Tancredo Neves (BA)","2010","19336","14332","2289","2402","213","99"
"Queimadas (BA)","2010","20342","14437","2383","3089","365","68"
"Quijingue (BA)","2010","22523","17544","2444","2188","277","71"
"Quixabeira (BA)","2010","8000","5953","973","1011","59","4"
"Rafael Jambeiro (BA)","2010","18871","14601","1941","1810","296","221"
"Remanso (BA)","2010","31907","23432","3547","3974","651","304"
"Retirolândia (BA)","2010","10212","6596","1227","2239","135","15"
"Riachão das Neves (BA)","2010","18175","13319","2396","1977","264","219"
"Riachão do Jacuípe (BA)","2010","28373","17997","3918","5970","450","39"
