"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Resplendor (MG)","2021","370","359","2437","1991","1907.25","43588","1.6","1757.97"
"Ressaquinha (MG)","2021","84","84","735","633","607.07","16581","1.9","2100.97"
"Riachinho (MG)","2021","81","81","597","531","512.92","13484","1.8","2022.16"
"Riacho dos Machados (MG)","2021","104","103","1844","1750","1652.38","61805","2.6","2877.20"
"Ribeirão das Neves (MG)","2021","3192","3028","31617","27969","27616.17","780915","2.0","2175.19"
"Ribeirão Vermelho (MG)","2021","107","103","857","731","747.10","16743","1.6","1723.91"
"Rio Acima (MG)","2021","387","383","1905","1370","1374.79","44192","2.2","2472.65"
"Rio Casca (MG)","2021","440","432","2205","1730","1706.96","40505","1.7","1825.32"
"Rio Doce (MG)","2021","50","48","474","434","413.34","13183","2.2","2453.43"
"Rio do Prado (MG)","2021","48","46","388","336","332.90","7927","1.7","1831.73"
"Rio Espera (MG)","2021","91","89","461","364","343.51","7289","1.5","1632.24"
"Rio Manso (MG)","2021","156","152","758","566","553.87","13777","1.7","1913.44"
"Rio Novo (MG)","2021","293","285","1168","869","864.96","19574","1.6","1740.78"
"Rio Paranaíba (MG)","2021","432","424","3438","2777","2774.75","85055","2.1","2357.94"
"Rio Pardo de Minas (MG)","2021","501","488","2503","2018","1943.01","44892","1.6","1777.27"
"Rio Piracicaba (MG)","2021","309","306","2762","2439","2634.99","85148","2.3","2485.72"
"Rio Pomba (MG)","2021","708","691","3842","3104","3145.34","110070","2.4","2691.90"
"Rio Preto (MG)","2021","112","110","718","616","595.31","12311","1.4","1590.77"
"Rio Vermelho (MG)","2021","180","179","1061","865","830.17","17561","1.5","1627.21"
"Ritápolis (MG)","2021","104","101","639","486","458.59","11364","1.7","1906.14"
"Rochedo de Minas (MG)","2021","43","43","560","517","476.64","10591","1.6","1709.23"
"Rodeiro (MG)","2021","340","330","4745","4280","3807.03","99570","1.8","2011.86"
"Romaria (MG)","2021","74","71","542","475","493.84","13099","1.9","2040.39"
"Rosário da Limeira (MG)","2021","92","90","768","668","641.11","13891","1.5","1666.73"
"Rubelita (MG)","2021","76","75","562","503","570.31","12160","1.5","1640.15"
"Rubim (MG)","2021","87","87","823","736","692.89","16059","1.6","1782.81"
"Sabará (MG)","2021","1786","1724","22086","19822","20205.73","730792","2.5","2782.12"
"Sabinópolis (MG)","2021","272","266","1672","1340","1378.25","36582","1.9","2041.70"
"Sacramento (MG)","2021","1002","968","7428","6219","5895.21","180449","2.1","2354.57"
"Salinas (MG)","2021","1320","1266","7801","6260","5958.11","128105","1.5","1653.91"
"Salto da Divisa (MG)","2021","67","65","728","671","675.23","23137","2.4","2635.81"
"Santa Bárbara (MG)","2021","700","686","7607","6726","6501.71","244066","2.6","2887.59"
"Santa Bárbara do Leste (MG)","2021","138","138","778","634","605.31","14508","1.7","1843.66"
"Santa Bárbara do Monte Verde (MG)","2021","58","54","435","373","353.51","7587","1.5","1650.93"
"Santa Bárbara do Tugúrio (MG)","2021","73","72","534","443","433.14","9660","1.6","1715.50"
"Santa Cruz de Minas (MG)","2021","213","209","1379","1157","1082.35","23871","1.5","1696.49"
"Santa Cruz de Salinas (MG)","2021","64","61","402","354","394.31","8202","1.5","1600.07"
"Santa Cruz do Escalvado (MG)","2021","59","59","737","653","510.52","15690","2.1","2364.08"
"Santa Efigênia de Minas (MG)","2021","55","55","519","455","420.56","8794","1.5","1608.42"
"Santa Fé de Minas (MG)","2021","63","63","496","431","390.85","7705","1.4","1516.36"
"Santa Helena de Minas (MG)","2021","60","58","382","332","325.70","7588","1.6","1792.12"
"Santa Juliana (MG)","2021","382","374","3416","2993","3242.77","118433","2.6","2809.39"
"Santa Luzia (MG)","2021","3124","2994","32788","28839","27868.23","878094","2.2","2423.75"
"Santa Margarida (MG)","2021","361","357","1350","957","983.78","26801","1.9","2095.58"
"Santa Maria de Itabira (MG)","2021","315","310","2215","1597","1509.60","33273","1.5","1695.47"
"Santa Maria do Salto (MG)","2021","51","49","437","392","367.57","8578","1.6","1795.17"
"Santa Maria do Suaçuí (MG)","2021","248","247","1549","1278","1254.19","26112","1.5","1601.51"
"Santana da Vargem (MG)","2021","207","204","1361","1115","1053.74","27447","1.8","2003.61"
"Santana de Cataguases (MG)","2021","64","64","441","378","376.75","9272","1.7","1893.04"
"Santana de Pirapama (MG)","2021","103","103","578","449","469.14","11572","1.7","1897.48"
"Santana do Deserto (MG)","2021","58","56","518","446","410.95","12399","2.1","2320.84"
"Santana do Garambéu (MG)","2021","38","36","254","222","215.95","5698","1.8","2029.65"
"Santana do Jacaré (MG)","2021","79","76","771","673","683.82","15855","1.6","1783.53"
"Santana do Manhuaçu (MG)","2021","133","132","910","758","691.46","14224","1.4","1582.42"
"Santana do Paraíso (MG)","2021","820","806","6437","5394","5348.30","147636","1.9","2123.41"
"Santana do Riacho (MG)","2021","213","207","1089","849","767.04","16808","1.5","1685.65"
"Santana dos Montes (MG)","2021","59","59","424","366","364.23","9327","1.8","1969.74"
"Santa Rita de Caldas (MG)","2021","200","194","1304","1054","1033.93","28175","1.9","2096.15"
"Santa Rita de Jacutinga (MG)","2021","117","115","720","594","585.12","11590","1.4","1523.70"
"Santa Rita de Minas (MG)","2021","130","127","948","807","850.79","19149","1.6","1731.32"
"Santa Rita de Ibitipoca (MG)","2021","56","54","510","450","421.90","9685","1.6","1765.87"
"Santa Rita do Itueto (MG)","2021","76","76","776","692","634.29","16616","1.8","2015.09"
"Santa Rita do Sapucaí (MG)","2021","1771","1734","14378","12071","12010.53","417049","2.4","2671.05"
"Santa Rosa da Serra (MG)","2021","41","40","353","308","349.59","9924","2.0","2183.60"
"Santa Vitória (MG)","2021","615","603","4942","4325","4109.12","152801","2.6","2860.45"
"Santo Antônio do Amparo (MG)","2021","373","360","2660","2232","2258.28","56838","1.8","1936.07"
"Santo Antônio do Aventureiro (MG)","2021","81","80","526","442","432.88","10499","1.7","1865.70"
"Santo Antônio do Grama (MG)","2021","78","77","547","469","422.71","9710","1.6","1767.07"
"Santo Antônio do Itambé (MG)","2021","21","20","325","300","288.71","7073","1.7","1884.49"
"Santo Antônio do Jacinto (MG)","2021","124","123","836","693","652.64","15313","1.6","1804.86"
"Santo Antônio do Monte (MG)","2021","1010","975","6218","4870","4766.06","110579","1.6","1784.71"
"Santo Antônio do Retiro (MG)","2021","73","71","370","312","495.61","11702","1.7","1816.21"
"Santo Antônio do Rio Abaixo (MG)","2021","32","31","215","191","183.37","4920","1.9","2063.76"
"Santo Hipólito (MG)","2021","62","61","353","288","268.24","6634","1.7","1902.32"
"Santos Dumont (MG)","2021","1025","961","7420","6010","6132.89","179176","2.0","2247.36"
"São Bento Abade (MG)","2021","58","58","424","362","328.78","10400","2.2","2433.13"
"São Brás do Suaçuí (MG)","2021","120","119","739","610","571.09","15537","1.9","2092.80"
"São Domingos das Dores (MG)","2021","82","82","536","457","531.70","11546","1.5","1670.45"
"São Domingos do Prata (MG)","2021","381","376","2550","2071","2082.05","49806","1.7","1840.12"
"São Félix de Minas (MG)","2021","73","72","474","394","347.98","7181","1.4","1587.44"
"São Francisco (MG)","2021","782","760","4796","4007","3972.29","94464","1.7","1829.28"
"São Francisco de Paula (MG)","2021","126","124","891","758","781.15","17027","1.5","1676.74"
"São Francisco de Sales (MG)","2021","98","96","846","735","767.42","19134","1.7","1917.92"
"São Francisco do Glória (MG)","2021","100","97","471","370","418.13","9817","1.6","1805.98"
"São Geraldo (MG)","2021","258","258","2732","2510","2513.33","57945","1.6","1773.46"
"São Geraldo da Piedade (MG)","2021","37","37","376","331","344.92","7521","1.5","1677.20"
"São Geraldo do Baixio (MG)","2021","55","54","426","365","378.41","8189","1.5","1664.73"
"São Gonçalo do Abaeté (MG)","2021","161","159","1391","1220","1231.50","30701","1.7","1917.65"
"São Gonçalo do Pará (MG)","2021","287","279","2408","1983","2089.15","50779","1.7","1869.71"
"São Gonçalo do Rio Abaixo (MG)","2021","273","269","8852","8548","7170.91","323517","3.2","3470.40"
"São Gonçalo do Sapucaí (MG)","2021","720","701","5149","4319","4290.53","107650","1.8","1930.01"
"São Gotardo (MG)","2021","1353","1319","9698","7626","7768.97","234655","2.1","2323.39"
"São João Batista do Glória (MG)","2021","197","195","1214","977","948.79","25218","1.9","2044.56"
"São João da Lagoa (MG)","2021","72","72","506","462","436.39","9639","1.5","1699.05"
"São João da Mata (MG)","2021","53","52","356","299","290.45","7272","1.8","1925.82"
"São João da Ponte (MG)","2021","199","192","2359","2195","1960.83","51638","1.8","2025.75"
"São João das Missões (MG)","2021","53","53","643","585","514.69","12343","1.7","1844.77"
"São João del Rei (MG)","2021","2827","2708","23857","20286","19806.26","696866","2.5","2706.47"
"São João do Manhuaçu (MG)","2021","239","234","1214","956","909.89","22623","1.7","1912.57"
"São João do Manteninha (MG)","2021","193","184","1306","1079","1085.91","23070","1.5","1634.25"
"São João do Oriente (MG)","2021","148","146","829","659","669.60","16115","1.7","1851.24"
"São João do Pacuí (MG)","2021","43","43","315","294","330.61","6570","1.4","1528.69"
"São João do Paraíso (MG)","2021","449","427","2582","2148","2044.71","44354","1.5","1668.64"
"São João Evangelista (MG)","2021","333","328","1825","1430","1383.95","30125","1.5","1674.41"
"São João Nepomuceno (MG)","2021","942","903","6671","5462","5354.07","106065","1.4","1523.86"
"São Joaquim de Bicas (MG)","2021","588","579","7960","7204","7092.75","236558","2.3","2565.55"
"São José da Barra (MG)","2021","182","178","1145","969","981.57","60100","4.3","4709.85"
"São José da Lapa (MG)","2021","551","542","6109","5409","5138.58","191251","2.6","2862.97"
"São José da Safira (MG)","2021","51","50","517","474","465.68","9918","1.5","1638.26"
"São José da Varginha (MG)","2021","78","70","542","473","470.91","11327","1.7","1850.34"
"São José do Alegre (MG)","2021","86","85","432","329","310.87","8037","1.8","1988.67"
"São José do Divino (MG)","2021","67","66","417","348","343.78","8298","1.7","1856.68"
"São José do Goiabal (MG)","2021","116","112","614","482","472.09","11589","1.7","1888.40"
"São José do Jacuri (MG)","2021","86","84","628","542","578.93","13013","1.6","1729.08"
"São José do Mantimento (MG)","2021","29","29","365","330","327.11","6958","1.5","1636.34"
"São Lourenço (MG)","2021","1969","1898","12933","10432","10329.35","271604","1.8","2022.65"
"São Miguel do Anta (MG)","2021","113","113","580","456","472.73","11931","1.8","1941.42"
"São Pedro da União (MG)","2021","106","105","561","459","450.45","12151","1.9","2075.09"
"São Pedro dos Ferros (MG)","2021","162","154","1196","1005","1052.29","23514","1.6","1718.91"
"São Pedro do Suaçuí (MG)","2021","64","64","562","505","467.97","10934","1.6","1797.33"
"São Romão (MG)","2021","146","146","885","752","688.44","15412","1.6","1722.01"
"São Roque de Minas (MG)","2021","222","216","1296","1084","1049.32","28055","1.9","2056.66"
"São Sebastião da Bela Vista (MG)","2021","176","176","1993","1826","1678.12","46541","1.9","2133.39"
"São Sebastião da Vargem Alegre (MG)","2021","67","62","372","317","327.02","7716","1.6","1814.93"
"São Sebastião do Anta (MG)","2021","78","78","650","566","527.18","12236","1.6","1785.45"
"São Sebastião do Maranhão (MG)","2021","107","107","645","545","539.24","10505","1.4","1498.49"
"São Sebastião do Oeste (MG)","2021","188","184","4499","4256","3930.00","109696","2.0","2147.12"
"São Sebastião do Paraíso (MG)","2021","2683","2587","19953","16169","15875.36","437018","1.9","2117.55"
"São Sebastião do Rio Preto (MG)","2021","24","24","291","271","259.64","5930","1.6","1756.92"
"São Sebastião do Rio Verde (MG)","2021","58","58","406","332","329.26","7211","1.5","1684.57"
"São Tiago (MG)","2021","307","295","2025","1679","1609.25","36753","1.6","1756.82"
"São Tomás de Aquino (MG)","2021","150","143","995","784","839.13","20204","1.7","1852.10"
"São Tomé das Letras (MG)","2021","233","226","1657","1373","1297.61","30119","1.6","1785.47"
"São Vicente de Minas (MG)","2021","230","220","1700","1423","1419.53","35027","1.7","1898.07"
"Sapucaí-Mirim (MG)","2021","186","184","1344","1115","1207.48","25053","1.5","1596.01"
"Sardoá (MG)","2021","92","91","729","629","583.20","11876","1.4","1566.45"
"Sarzedo (MG)","2021","797","779","10760","9797","8974.20","332325","2.6","2848.55"
"Setubinha (MG)","2021","80","80","581","517","505.14","10672","1.5","1625.16"
"Sem-Peixe (MG)","2021","42","42","364","313","298.38","6059","1.4","1562.04"
"Senador Amaral (MG)","2021","102","101","803","704","634.44","13712","1.5","1662.49"
"Senador Cortes (MG)","2021","41","40","408","380","366.32","7283","1.4","1529.37"
"Senador Firmino (MG)","2021","199","196","1084","883","877.29","18909","1.5","1657.96"
"Senador José Bento (MG)","2021","35","35","271","233","245.98","5490","1.6","1716.73"
"Senador Modestino Gonçalves (MG)","2021","66","62","457","403","420.11","9419","1.6","1724.64"
"Senhora de Oliveira (MG)","2021","124","122","678","541","499.97","11184","1.6","1720.77"
"Senhora do Porto (MG)","2021","24","24","312","288","275.52","6507","1.7","1816.62"
"Senhora dos Remédios (MG)","2021","143","141","941","797","749.73","16550","1.5","1698.02"
"Sericita (MG)","2021","157","155","822","636","567.34","11247","1.4","1524.97"
"Seritinga (MG)","2021","58","58","424","368","378.44","8403","1.6","1707.94"
"Serra Azul de Minas (MG)","2021","28","28","382","353","335.48","7646","1.6","1753.14"
"Serra da Saudade (MG)","2021","18","18","151","136","134.66","3506","1.8","2002.63"
"Serra dos Aimorés (MG)","2021","92","91","867","786","1147.27","28692","1.7","1923.77"
"Serra do Salitre (MG)","2021","374","368","2603","2220","2164.23","91735","3.0","3260.52"
"Serrania (MG)","2021","150","145","991","832","804.64","20515","1.8","1961.19"
"Serranópolis de Minas (MG)","2021","52","52","461","416","376.10","8346","1.6","1707.04"
"Serranos (MG)","2021","47","46","268","221","210.87","5829","1.9","2126.49"
"Serro (MG)","2021","328","313","2252","1796","1783.89","44129","1.7","1902.87"
"Sete Lagoas (MG)","2021","7518","7199","72231","62503","63672.48","2065332","2.3","2495.14"
"Silveirânia (MG)","2021","58","56","324","286","283.99","6348","1.6","1719.50"
"Silvianópolis (MG)","2021","154","148","991","807","809.83","19283","1.7","1831.58"
"Simão Pereira (MG)","2021","82","82","506","416","415.47","12087","2.0","2237.89"
"Simonésia (MG)","2021","280","277","1434","1111","1126.72","26740","1.7","1825.57"
"Sobrália (MG)","2021","75","75","592","495","505.34","12717","1.8","1935.80"
"Soledade de Minas (MG)","2021","110","110","670","514","480.74","12296","1.8","1967.42"
"Tabuleiro (MG)","2021","91","90","634","538","510.51","11550","1.6","1740.41"
"Taiobeiras (MG)","2021","1022","955","5980","4752","4663.86","101621","1.5","1676.08"
"Taparuba (MG)","2021","35","35","465","427","393.50","7794","1.4","1523.66"
"Tapira (MG)","2021","91","90","2308","2213","1994.90","92054","3.2","3549.59"
"Tapiraí (MG)","2021","22","22","238","220","241.49","5973","1.7","1902.66"
"Taquaraçu de Minas (MG)","2021","73","71","547","449","448.98","11652","1.8","1996.31"
"Tarumirim (MG)","2021","324","318","1684","1335","1305.92","25477","1.4","1500.68"
"Teixeiras (MG)","2021","294","293","1500","1231","1171.08","26045","1.6","1710.77"
"Teófilo Otoni (MG)","2021","3880","3700","32426","27515","27585.52","711350","1.8","1983.62"
"Timóteo (MG)","2021","2408","2347","20369","17130","16906.27","648179","2.7","2949.20"
"Tiradentes (MG)","2021","512","485","2961","2286","2061.75","43370","1.5","1618.10"
"Tiros (MG)","2021","185","183","1100","890","942.36","30545","2.3","2493.35"
"Tocantins (MG)","2021","567","557","3464","2742","2713.48","62345","1.6","1767.38"
"Tocos do Moji (MG)","2021","74","71","402","320","310.40","8001","1.8","1982.79"
"Toledo (MG)","2021","171","168","873","686","694.64","14768","1.5","1635.43"
"Tombos (MG)","2021","212","210","1076","824","820.25","18658","1.6","1749.70"
"Três Corações (MG)","2021","2054","1967","17626","15043","15241.98","455468","2.1","2298.65"
"Três Marias (MG)","2021","952","933","7968","6928","6540.36","204768","2.2","2408.33"
"Três Pontas (MG)","2021","1636","1559","13861","12013","11835.46","316256","1.9","2055.46"
"Tumiritinga (MG)","2021","79","77","591","526","573.57","10749","1.3","1441.54"
"Tupaciguara (MG)","2021","829","810","5714","4731","4777.18","159250","2.3","2564.27"
"Turmalina (MG)","2021","563","522","4252","3645","3562.29","93728","1.8","2023.94"
"Turvolândia (MG)","2021","111","109","767","625","611.34","14034","1.6","1765.84"
"Ubá (MG)","2021","4184","4053","31895","26891","26792.44","651346","1.7","1870.06"
"Ubaí (MG)","2021","89","89","748","675","700.35","15274","1.5","1677.58"
"Ubaporanga (MG)","2021","271","268","1364","1058","1033.93","23088","1.6","1717.68"
"Uberaba (MG)","2021","12936","12308","105113","88627","88220.66","3274949","2.6","2855.56"
"Uberlândia (MG)","2021","33573","31681","262189","223435","220490.51","8355249","2.6","2914.92"
